Date,Open,High,Low,Close,Adj Close,Volume,Source
1980-12-12 00:00:00-05:00,0.128348,0.128906,0.128348,0.128348,0.0987259,469033600,"AAPL_1980-12-03_2025-03-15"
1980-12-15 00:00:00-05:00,0.12221,0.12221,0.121652,0.121652,0.0935753,175884800,"AAPL_1980-12-03_2025-03-15"
1980-12-16 00:00:00-05:00,0.113281,0.113281,0.112723,0.112723,0.0867071,105728000,"AAPL_1980-12-03_2025-03-15"
1980-12-17 00:00:00-05:00,0.115513,0.116071,0.115513,0.115513,0.0888532,86441600,"AAPL_1980-12-03_2025-03-15"
1980-12-18 00:00:00-05:00,0.118862,0.11942,0.118862,0.118862,0.0914292,73449600,"AAPL_1980-12-03_2025-03-15"
1980-12-19 00:00:00-05:00,0.126116,0.126674,0.126116,0.126116,0.097009,48630400,"AAPL_1980-12-03_2025-03-15"
1980-12-22 00:00:00-05:00,0.132254,0.132813,0.132254,0.132254,0.10173,37363200,"AAPL_1980-12-03_2025-03-15"
1980-12-23 00:00:00-05:00,0.137835,0.138393,0.137835,0.137835,0.106023,46950400,"AAPL_1980-12-03_2025-03-15"
1980-12-24 00:00:00-05:00,0.145089,0.145647,0.145089,0.145089,0.111603,48003200,"AAPL_1980-12-03_2025-03-15"
1980-12-26 00:00:00-05:00,0.158482,0.15904,0.158482,0.158482,0.121905,55574400,"AAPL_1980-12-03_2025-03-15"
1980-12-29 00:00:00-05:00,0.160714,0.161272,0.160714,0.160714,0.123622,93161600,"AAPL_1980-12-03_2025-03-15"
1980-12-30 00:00:00-05:00,0.157366,0.157366,0.156808,0.156808,0.120618,68880000,"AAPL_1980-12-03_2025-03-15"
1980-12-31 00:00:00-05:00,0.152902,0.152902,0.152344,0.152344,0.117184,35750400,"AAPL_1980-12-03_2025-03-15"
1981-01-02 00:00:00-05:00,0.154018,0.155134,0.154018,0.154018,0.118471,21660800,"AAPL_1980-12-03_2025-03-15"
1981-01-05 00:00:00-05:00,0.151228,0.151228,0.15067,0.15067,0.115896,35728000,"AAPL_1980-12-03_2025-03-15"
1981-01-06 00:00:00-05:00,0.144531,0.144531,0.143973,0.143973,0.110745,45158400,"AAPL_1980-12-03_2025-03-15"
1981-01-07 00:00:00-05:00,0.138393,0.138393,0.137835,0.137835,0.106023,55686400,"AAPL_1980-12-03_2025-03-15"
1981-01-08 00:00:00-05:00,0.135603,0.135603,0.135045,0.135045,0.103877,39827200,"AAPL_1980-12-03_2025-03-15"
1981-01-09 00:00:00-05:00,0.142299,0.142857,0.142299,0.142299,0.109457,21504000,"AAPL_1980-12-03_2025-03-15"
1981-01-12 00:00:00-05:00,0.142299,0.142299,0.141183,0.141183,0.108599,23699200,"AAPL_1980-12-03_2025-03-15"
1981-01-13 00:00:00-05:00,0.136719,0.136719,0.136161,0.136161,0.104736,23049600,"AAPL_1980-12-03_2025-03-15"
1981-01-14 00:00:00-05:00,0.136719,0.137277,0.136719,0.136719,0.105165,14291200,"AAPL_1980-12-03_2025-03-15"
1981-01-15 00:00:00-05:00,0.139509,0.140625,0.139509,0.139509,0.107311,14067200,"AAPL_1980-12-03_2025-03-15"
1981-01-16 00:00:00-05:00,0.138951,0.138951,0.138393,0.138393,0.106453,13395200,"AAPL_1980-12-03_2025-03-15"
1981-01-19 00:00:00-05:00,0.146763,0.147321,0.146763,0.146763,0.112891,41574400,"AAPL_1980-12-03_2025-03-15"
1981-01-20 00:00:00-05:00,0.142857,0.142857,0.142299,0.142299,0.109457,30083200,"AAPL_1980-12-03_2025-03-15"
1981-01-21 00:00:00-05:00,0.145089,0.146205,0.145089,0.145089,0.111603,15904000,"AAPL_1980-12-03_2025-03-15"
1981-01-22 00:00:00-05:00,0.146763,0.147879,0.146763,0.146763,0.112891,35548800,"AAPL_1980-12-03_2025-03-15"
1981-01-23 00:00:00-05:00,0.146763,0.147321,0.146205,0.146205,0.112462,11222400,"AAPL_1980-12-03_2025-03-15"
